EPOCH=001,Accuracy= 19.260%
EPOCH=002,Accuracy= 30.380%
EPOCH=003,Accuracy= 42.120%
EPOCH=004,Accuracy= 38.790%
EPOCH=005,Accuracy= 56.560%
EPOCH=006,Accuracy= 62.110%
EPOCH=007,Accuracy= 56.270%
EPOCH=008,Accuracy= 64.400%
EPOCH=009,Accuracy= 64.060%
EPOCH=010,Accuracy= 65.250%
EPOCH=011,Accuracy= 57.950%
EPOCH=012,Accuracy= 62.800%
EPOCH=013,Accuracy= 56.980%
EPOCH=014,Accuracy= 65.570%
EPOCH=015,Accuracy= 68.020%
EPOCH=016,Accuracy= 67.060%
EPOCH=017,Accuracy= 55.760%
EPOCH=018,Accuracy= 54.480%
EPOCH=019,Accuracy= 63.510%
EPOCH=020,Accuracy= 60.480%
EPOCH=021,Accuracy= 66.350%
EPOCH=022,Accuracy= 59.710%
EPOCH=023,Accuracy= 63.180%
EPOCH=024,Accuracy= 65.640%
EPOCH=025,Accuracy= 63.170%
EPOCH=026,Accuracy= 69.230%
EPOCH=027,Accuracy= 63.470%
EPOCH=028,Accuracy= 62.200%
EPOCH=029,Accuracy= 62.270%
EPOCH=030,Accuracy= 62.420%
EPOCH=031,Accuracy= 60.400%
EPOCH=032,Accuracy= 68.830%
EPOCH=033,Accuracy= 66.130%
EPOCH=034,Accuracy= 65.290%
EPOCH=035,Accuracy= 65.030%
EPOCH=036,Accuracy= 66.200%
EPOCH=037,Accuracy= 66.220%
EPOCH=038,Accuracy= 61.580%
EPOCH=039,Accuracy= 67.260%
EPOCH=040,Accuracy= 70.730%
