001  00001 |Loss: 2.494 | Acc: 9.375% 
001  00002 |Loss: 11.770 | Acc: 4.688% 
001  00003 |Loss: 11.262 | Acc: 4.167% 
001  00004 |Loss: 11.682 | Acc: 7.812% 
001  00005 |Loss: 16.218 | Acc: 8.750% 
001  00006 |Loss: 16.728 | Acc: 9.375% 
001  00007 |Loss: 14.949 | Acc: 10.268% 
001  00008 |Loss: 14.667 | Acc: 9.766% 
001  00009 |Loss: 15.581 | Acc: 9.722% 
001  00010 |Loss: 18.816 | Acc: 10.625% 
001  00011 |Loss: 19.445 | Acc: 9.943% 
001  00012 |Loss: 18.930 | Acc: 10.156% 
001  00013 |Loss: 17.725 | Acc: 10.577% 
001  00014 |Loss: 17.044 | Acc: 10.491% 
001  00015 |Loss: 17.337 | Acc: 10.000% 
001  00016 |Loss: 16.413 | Acc: 10.156% 
001  00017 |Loss: 16.080 | Acc: 10.662% 
001  00018 |Loss: 16.161 | Acc: 11.111% 
001  00019 |Loss: 15.462 | Acc: 11.184% 
001  00020 |Loss: 15.265 | Acc: 10.938% 
001  00021 |Loss: 14.921 | Acc: 10.863% 
001  00022 |Loss: 14.459 | Acc: 10.511% 
001  00023 |Loss: 13.962 | Acc: 10.734% 
001  00024 |Loss: 13.716 | Acc: 10.547% 
001  00025 |Loss: 13.949 | Acc: 10.375% 
001  00026 |Loss: 13.499 | Acc: 10.577% 
001  00027 |Loss: 13.341 | Acc: 10.417% 
001  00028 |Loss: 13.115 | Acc: 10.603% 
001  00029 |Loss: 12.777 | Acc: 10.345% 
001  00030 |Loss: 12.433 | Acc: 10.521% 
001  00031 |Loss: 12.212 | Acc: 10.685% 
001  00032 |Loss: 12.037 | Acc: 10.645% 
001  00033 |Loss: 11.741 | Acc: 10.606% 
001  00034 |Loss: 11.490 | Acc: 10.570% 
001  00035 |Loss: 11.273 | Acc: 10.536% 
001  00036 |Loss: 11.048 | Acc: 10.590% 
001  00037 |Loss: 10.819 | Acc: 10.389% 
001  00038 |Loss: 10.619 | Acc: 10.362% 
001  00039 |Loss: 10.481 | Acc: 10.497% 
001  00040 |Loss: 10.303 | Acc: 10.391% 
001  00041 |Loss: 10.119 | Acc: 10.366% 
001  00042 |Loss: 9.958 | Acc: 10.268% 
